date,Na,Mg,K,Ca,Cl,NO3,SO4,Na_MS,Mg_MS,K_MS,Ca_MS,comments_IC,comments_MS
2017-03-06T17:20:00Z,3.232,4.209,NA,64.711,NA,1.751,17.637,NA,NA,NA,NA,NA,NA
2017-03-06T18:20:00Z,3.268,4.241,1.112,64.043,0.559,1.771,17.74,NA,NA,NA,NA,NA,NA
2017-03-06T19:20:00Z,NA,NA,NA,NA,0.563,1.788,17.457,NA,NA,NA,NA,NA,NA
2017-03-06T21:20:00Z,3.154,4.194,1.101,63.4,0.571,1.779,17.433,NA,NA,NA,NA,NA,NA
2017-03-06T22:20:00Z,3.162,4.238,NA,63.785,0.572,1.815,16.462,NA,NA,NA,NA,NA,NA
2017-03-06T23:20:00Z,3.128,3.996,NA,63.603,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-07T01:20:00Z,2.925,4.017,1.06,62.069,0.558,1.879,16.737,NA,NA,NA,NA,NA,NA
2017-03-07T02:20:00Z,2.942,4.173,1.072,62.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-07T03:20:00Z,3.052,4.131,1.076,63.827,0.556,1.869,17.655,NA,NA,NA,NA,NA,NA
2017-03-07T05:20:00Z,3.198,4.319,1.109,65.39,0.554,1.887,18.253,NA,NA,NA,NA,NA,NA
2017-03-07T06:20:00Z,3.24,4.368,1.133,65.791,0.553,1.875,18.577,NA,NA,NA,NA,NA,NA
2017-03-07T07:20:00Z,3.267,4.44,1.187,66.166,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-03-07T09:20:00Z,3.37,4.461,1.208,66.853,0.558,1.84,19.025,NA,NA,NA,NA,NA,NA
2017-03-07T10:20:00Z,3.409,4.477,1.155,67.162,0.56,1.819,19.158,NA,NA,NA,NA,NA,NA
2017-03-07T11:20:00Z,3.44,4.539,NA,67.411,0.562,1.836,19.168,NA,NA,NA,NA,NA,NA
2017-03-07T12:50:00Z,3.459,4.523,1.156,68.477,0.567,1.797,19.227,NA,NA,NA,NA,NA,NA
2017-03-07T13:20:00Z,3.509,4.512,NA,67.447,0.568,1.796,19.761,NA,NA,NA,NA,NA,NA
2017-03-07T14:20:00Z,3.478,4.522,1.146,67.761,0.574,1.797,19.199,NA,NA,NA,NA,NA,NA
2017-03-07T15:20:00Z,3.558,4.525,NA,68.075,0.579,1.809,19.361,NA,NA,NA,NA,NA,NA
2017-03-07T17:20:00Z,3.452,NA,1.136,69.911,0.573,1.788,19.16,NA,NA,NA,NA,NA,NA
2017-03-07T17:50:00Z,3.481,4.543,1.155,67.814,0.574,1.783,19.297,NA,NA,NA,NA,NA,NA
